id;movie_name;language;box_office;year;companies;countries;director
2995;Chasers;en;9.853;1994;Warner Bros. and Morgan Creek Productions;US;NONE
2765;Cinema Paradiso;NONE;14.177;1988;Rai Tre Radiotelevisione Italiana;NONE;NONE
1031;Waltz with Bashir;he;7.637;2008;Les Films d'Ici and Bridgit Folman Film Gang and Razor Film Produktion;IL and FR and DE;NONE
226;Drive Angry;en;7.669;2011;Summit Entertainment and Saturn Films and Nu Image Films and Millennium Films and Michael De Luca Productions;NONE;Patrick Lussier
1311;A Man for All Seasons;en;NONE;NONE;NONE;GB;Fred Zinnemann
2730;The Piano;en;NONE;NONE;New South Wales Film & Television Office and The Australian Film Commission and CiBy 2000 and Jan Chapman Productions;NZ and AU and FR;Jane Campion
1458;Mambo Italiano;en;NONE;2003;icon;NONE;√âmile Gaudreault
745;The Diving Bell and the Butterfly;NONE;11.090;2007;NONE;NONE;Julian Schnabel
658;Enter the Void;en;NONE;NONE;NONE;CA and FR and DE and IT;Gaspar No√©
550;Phone Booth;NONE;9.143;2002;NONE;NONE;Joel Schumacher
1545;Daybreakers;en;10.039;NONE;NONE;US and AU;Michael Spierig and Peter Spierig
1087;Jackass Number Two;en;7.915;2006;Paramount Pictures;US;NONE
2313;The Iron Lady;NONE;NONE;2011;UK Film Council and Canal+ and DJ Films and CinéCinéma and Pathé and Film4 and Goldcrest Pictures and Yuk Films;FR and GB;NONE
355;Chasing Trane;en;NONE;2017;NONE;US;NONE
1166;Niagara;en;14.605;1953;Twentieth Century Fox Film Corporation;NONE;Henry Hathaway
2039;Possession;NONE;4.439;NONE;Warner Bros. Pictures and Focus Features and Baltimore Spring Creek Productions;GB and US;Neil LaBute
803;Robin Hood;en;NONE;1973;NONE;NONE;Wolfgang Reitherman
1831;The Best Movie 3-DE;NONE;NONE;NONE;TNT;RU;Kirill Kuzin
414;The Dictator;en;NONE;NONE;Paramount Pictures;US;NONE
435;White Water Summer;en;7.746;NONE;NONE;US;Jeff Bleckner
1286;Sudden Impact;en;NONE;1983;Warner Bros.;US;Clint Eastwood
876;White Nights;en;NONE;1985;Columbia Pictures;US;NONE
49;Star Trek: Generations;en;8.106;NONE;Paramount Pictures;US;David Carson
1936;Blues Brothers 2000;en;13.162;NONE;Universal Pictures;US;NONE
394;The Cannonball Run;en;NONE;1981;Eurasia Investments;NONE;Hal Needham
1557;The Legend of Zorro;NONE;8.940;2005;Amblin Entertainment and Columbia Pictures Corporation;NONE;NONE
2796;The Princess of Montpensier;fr;NONE;NONE;Paradis Films;FR and DE;Bertrand Tavernier
950;Christopher Columbus: The Discovery;fr;NONE;NONE;Warner Bros.;ES and GB and US;John Glen
