id;title;original_language;popularity;release_year;production_companies;production_countries;director
2729;The Boss Baby;NONE;13.393;2017;NONE;US;Tom McGrath
1914;Gods and Generals;en;NONE;2003;Warner Bros. Pictures and Turner Pictures and Antietam Filmworks;NONE;Ronald F. Maxwell
1523;Renaissance;fr;9.747;NONE;NONE;FR and GB and LU;NONE
796;Welcome to Dongmakgol;ko;4.222;2005;NONE;KR;NONE
1178;Cold Turkey;NONE;0.609;1971;Tandem Productions and DFI;US;Norman Lear
799;The A-Team;NONE;16.748;2010;NONE;NONE;Joe Carnahan
1328;Daddy's Dyin'... Who's Got the Will?;NONE;0.285;1990;NONE;US;Jack Fisk
2862;Pro Lyuboff;NONE;0.122;2010;Profit;RU;Olga Subbotina
2871;Antwone Fisher;NONE;NONE;2002;Fox Searchlight Pictures and Mundy Lane Entertainment;US;Denzel Washington
1764;The Bridge on the River Kwai;en;8.852;NONE;Columbia Pictures Corporation and Horizon Pictures (II);NONE;NONE
1180;Precious Cargo;en;11.548;2016;NONE;CA;NONE
2979;The Back-Up Plan;en;6.630;2010;Escape Artists and CBS Films;US;NONE
1657;About Last Night;en;9.543;NONE;NONE;US;Steve Pink
1569;Crocodile Dundee II;en;8.949;NONE;Paramount Pictures;AU and US;John Cornell
874;Mama;en;16.019;NONE;Universal Pictures and Toma 78 and De Milo;NONE;NONE
844;Dracula;NONE;7.503;1931;NONE;US;NONE
757;Four Christmases;en;7.210;2008;NONE;US;Seth Gordon
2728;Colegas;NONE;NONE;1982;Ópalo Films;ES;NONE
1346;East of Eden;en;NONE;NONE;NONE;US;Elia Kazan
560;Look;NONE;NONE;2007;Capture Film Internatrional and Meteor Film Productions;US;NONE
514;High Strung;en;NONE;2016;NONE;RO and US;Michael Damian
1595;Coherence;NONE;6.851;NONE;Ugly Duckling Films and Bellanova Films;US;James Ward Byrkit
331;Bodyguards and Assassins;cn;NONE;2009;China Film Group Corporation;CN;Teddy Chan
1717;RoboCop;en;NONE;2014;Columbia Pictures and Strike Entertainment and Metro-Goldwyn-Mayer (MGM);CA and US;Jos√© Padilha
2204;Cirque du Freak: The Vampire's Assistant;NONE;10.829;2009;NONE;US;Paul Weitz
207;Mighty Morphin Power Rangers: The Movie;NONE;7.024;1995;NONE;JP and US;Bryan Spicer
544;Sweet Charity;NONE;NONE;1969;Universal Pictures;US;Bob Fosse
2653;La Bamba;en;6.477;1987;Columbia Pictures Corporation and New Visions Pictures;NONE;NONE
547;Tales from the Darkside: The Movie;en;5.732;NONE;Paramount Pictures and Laurel Productions and Darkside Movie;US;John Harrison
1732;Grand Masti;hi;1.250;NONE;NONE;IN;Indra Kumar
